为了,"['for', 'for the sake of']","['prep.', 'misc.']"
势能,['potential energy'],['potential energy\n ;\n']
刀位,['cutter spacing'],['cutter spacing\n']
鲁滨逊,['Robinson'],['n.']
粮食作物,['food crop'],['food crop\n ;\n']
驯养,"['domesticate', 'raise and train (animals)']","['vt.', 'misc.']"
羊奶,"[""ewe's milk""]","[""ewe's milk\n""]"
周游世界,['go on a tour round the world'],['go on a tour round the world\n ;\n']
乐活,['Lohas'],['abbr.']
最后通牒,['ultimatum'],['n.']
与会代表,['representative present at the meeting'],['representative present at the meeting\n']
知名品牌,['famous brand'],['famous brand\n ;\n']
开闭,"['lockage', 'make and break']","['n.', 'misc.']"
孔壁,['wall of hole'],['wall of hole\n']
马赫数,['mach number'],['mach number\n']
校测,['calibration'],['n.']
惊恐,"['terrified', 'alarmed and panicky']","['adj.', 'misc.']"
英语听力,['English listening comprehension'],['English listening comprehension\n']
指标值,['targeted value'],['targeted value\n ;\n']
记忆效应,['memory effect'],['memory effect\n']
捞,"['gain', 'fish for']","['n.', 'misc.']"
独眼,"['cyclopia', 'monophthalmia']","['n.', 'misc.']"
全神贯注,"['be absorbed in', 'cathexis', 'concentrate on']","['v.', 'n.', 'misc.']"
攀爬,['shin'],['n.']
断壁残垣,['dilapidated walls'],['dilapidated walls\n']
江西,['Jiangxi (Province)'],['Jiangxi (Province)\n']
两极,"['dipolar', 'the two poles']","['adj.', 'misc.']"
过境,"['transit', 'pass through the territory of a country']","['n.', 'misc.']"
分神,['give some attention to'],['give some attention to\n']
罪魁祸首,['chief culprit'],['chief culprit\n ;\n']
小腹,"['underbelly', 'lower abdomen']","['n.', 'misc.']"
毛丛,"['pile', 'scopula']","['n.', 'misc.']"
静温,['static temperature'],['static temperature\n']
严寒,"['severe cold', 'Jack Frost']","['n.', 'misc.']"
杨柳,"['willow', 'poplar and willow']","['n.', 'misc.']"
挂满,"['overwork', 'drape']","['vi.', 'vt.']"
亮晶晶,['sparkling'],['adj.']
银条,['silver bar'],['silver bar\n ;\n']
生机勃勃,['full of vigor'],['full of vigor\n']
不失时机,['lose no time'],['lose no time\n ;\n']
汇合点,['meeting'],['n.']
务实,['deal with concrete matters relating to work'],['deal with concrete matters relating to work\n ;\n']
法律依据,['legal basis'],['legal basis\n ;\n']
翻一番,['double'],['n.']
蔗糖,['saccharose'],['n.']
防晒霜,"['sunblock', 'sun cream']","['n.', 'misc.']"
水电,"['hydroelectric', 'water and electricity']","['adj.', 'misc.']"
爬出来,['creep off'],['creep off\n ;\n']
燕,['swallow'],['n.']
八哥,"['myna', 'Crested myna']","['n.', 'misc.']"
萨科齐,['Sarkozy'],['n.']
鲍姆,['Baume'],['n.']
巴伯,['barber'],['n.']
第六感,['sixth sense'],['sixth sense\n']
帝皇,['emperor'],['emperor\n']
尔格,"['erg', 'dyne centimeter']","['n.', 'misc.']"
里姆,['Ream'],['n.']
亲近,['be close to'],['be close to\n ;\n']
被动挨打,['being in a passive position and taking a beating'],['being in a passive position and taking a beating\n ;\n']
伊斯特,['East'],['n.']
矾石,"['aluminite', 'alley stone']","['n.', 'misc.']"
商务活动,['commercial activity'],['commercial activity\n ;\n']
会话,['conversation'],['n.']
参数传递,['parameter passing'],['parameter passing\n']
影碟,['video disk'],['video disk\n']
石阶,['stone step'],['stone step\n']
顺势,['take advantage of an opportunity'],['take advantage of an opportunity\n ;\n']
核工程,['nuclear engineering'],['nuclear engineering\n']
第一卷,['the first volume'],['the first volume\n']
阿尔贝蒂,['Alberti'],['n.']
捕蝇草,['Dionaea muscipula'],['Dionaea muscipula\n']
画轴,['painted scroll'],['painted scroll\n ;\n']
测图,['mapping'],['v.']
画图,['paint'],['vt.']
看图,['look at the picture'],['look at the picture\n']
制图,['drawing'],['n.']
圣餐,['Holy Communion'],['Holy Communion\n']
肝素,['heparin'],['n.']
帽,"['cap', 'cover']","['n.', 'vt.']"
利弊,['advantages and disadvantages'],['advantages and disadvantages\n ;\n']
种花,['raisegrow'],['raisegrow\n ;\n']
沼气,"['methane', 'marsh gas']","['n.', 'misc.']"
伤疤,['scar'],['vt.']
洋节,['western festival'],['western festival\n']
莫克,['Moke'],['n.']
岱,['another name for Taishan Mountain'],['another name for Taishan Mountain\n']
坩埚,['crucible'],['n.']
救命稻草,['a life-saving straw'],['a life-saving straw\n ;\n']
保守派,['the conservatives'],['the conservatives\n ;\n']
倾巢出动,['turn out in full strength'],['turn out in full strength\n ;\n']
扎营,"['encamp', 'pitch a tent or camp']","['vi.', 'misc.']"
当空,['high above in the sky'],['high above in the sky\n']
四顾,['look around'],['look around\n']
咦,['gee'],['int.']
控制面板,['control panel'],['control panel\n']
删除程序,['Killer'],['n.']
邮电,['post and telecommunications'],['post and telecommunications\n']
送往,['deliver'],['deliver\n ;\n']
义和团运动,['yihetuan movement'],['yihetuan movement\n']
八国联军,['the Eight-Power Allied Forces'],['the Eight-Power Allied Forces\n']
张作霖,['Zhang Zuolin（人名）'],['Zhang Zuolin（人名）\n']
列强,['big powers'],['big powers\n']
汽车行业,"['motor-dom', 'auto industry']","['n.', 'misc.']"
麻雀,['sparrow'],['n.']
吱吱喳喳,['chirping togethe'],['chirping togethe\n ;\n']
飘荡,"['drift', 'flutter']","['n.', 'vi.']"
红杉,['redwood'],['n.']
中小企业,['middle and small-sized enterprises'],['middle and small-sized enterprises\n']
卡琳,"['Karin', 'Carin']","['n.', 'misc.']"
公愤,['public indignation'],['public indignation\n ;\n']
寒地,['cold region'],['cold region\n']
阿比,['abbey'],['n.']
寨,"['stockade', 'stockaded village']","['n.', 'misc.']"
老兵,"['veteran', 'old soldier']","['n.', 'misc.']"
首屈一指,['second to none'],['second to none\n ;\n']
记忆减退,"['hypomnesia', 'hypomnesis']","['n.', 'misc.']"
金枪鱼,['tuna'],['n.']
端粒,['telomere'],['n.']
卡莉,['Carly'],['n.']
奋发向上,['strive to make progress'],['strive to make progress\n']
后视,['back vision'],['back vision\n']
能见度,"['visibility', 'conspicurity']","['n.', 'misc.']"
总趋势,['general trend'],['general trend\n']
祖母,['grandmother'],['n.']
海森,['Huyssen'],['n.']
生父,['natural father'],['natural father\n ;\n']
击掌,['clap the hands'],['clap the hands\n']
经济指标,['economic indicators'],['economic indicators\n ;\n']
单株,['single plant'],['single plant\n ;\n']
斥力,"['repulsion', 'repulsive force']","['n.', 'misc.']"
内隐,['implicit'],['adj.']
外显,"['exon', 'explicit']","['n.', 'adj.']"
洛美沙星,['lomefloxacin'],['lomefloxacin\n']
氢键,['hydrogen bond'],['hydrogen bond\n']
双水相,['aqueous two phase'],['aqueous two phase\n']
骗,"['deceive', 'cheat']","['v.', 'vt.']"
敬老尊贤,['honor the aged and the wise'],['honor the aged and the wise\n']
爱护,"['care', 'cherish']","['n.', 'vt.']"
后进,"['backward', 'less advanced']","['adj.', 'misc.']"
法莫替丁,['famotidine'],['n.']
政治学家,['politician'],['n.']
袜底,['sole of a stocking'],['sole of a stocking\n']
抓地,['grip the ground'],['grip the ground\n']
好榜样,['role model'],['role model\n ;\n']
鼓膜,"['eardrum', 'tympanic membrane']","['n.', 'misc.']"
颞,['Temple'],['n.']
菝葜,['chinaroot greenbrier'],['chinaroot greenbrier\n ;\n']
海特,"['Hatter', 'Haidt']","['n.', 'misc.']"
伯里,['Bury'],['n.']
客观原因,['objective reason'],['objective reason\n ;\n']
退货,['sales return'],['sales return\n']
囤积,"['corner', 'hoard for speculation']","['vi.', 'misc.']"
高血糖,['hyperglycemia'],['n.']
动荡不安,"['turbulent', 'in turmoil']","['adj.', 'misc.']"
克力,"['GF', 'gram force']","['abbr.', 'misc.']"
困苦,['hardship'],['n.']
渺茫,"['remote', 'distant and indistinct']","['adj.', 'misc.']"
天黑,['get dark'],['get dark\n']
休谟,['david hume'],['david hume\n']
短裤,['shorts'],['n.']
球袜,['stockings'],['n.']
死亡者,['deceased person'],['deceased person\n ;\n']
膝上,['above knee'],['above knee\n']
阴囊,"['scrotum', 'bursula testium']","['n.', 'misc.']"
人工合成,"['synthetic', 'artificially synthesized']","['adj.', 'misc.']"
计入,"['number', 'reckon in']","['vi.', 'misc.']"
汤森,['Tonson'],['n.']
皮下,['subcutaneous'],['adj.']
冠状,['corona-'],['corona-\n']
睑缘,['margo palpebrae'],['margo palpebrae\n ;\n']
颧骨,"['cheekbone', 'zygomatic bone']","['n.', 'misc.']"
颧弓,"['zygoma', 'zygomatic arch']","['n.', 'misc.']"
上颌骨,['upper jaw bone'],['upper jaw bone\n']
生食,"['omophagia', 'uncooked food']","['n.', 'misc.']"
布阵,"['lineup', 'embattle', 'go into camp']","['n.', 'vt.', 'misc.']"
完全一致,['on all fours'],['on all fours\n ;\n']
测量体温,['measure body temperature'],['measure body temperature\n']
烦扰,['bother'],['vt.']
实际操作,['actual operation'],['actual operation\n']
时势,['the current situation'],['the current situation\n ;\n']
存钱,['save money'],['save money\n']
遛鸟,['go for a walk in a quiet place with a bird'],['go for a walk in a quiet place with a bird\n']
游走,['migration'],['n.']
更胜一筹,['even better'],['even better\n ;\n']
赵文卓,['Vincent Chiu（演员、武术家、体育教练）'],['Vincent Chiu（演员、武术家、体育教练）\n ;\n']
恋情,['amour'],['n.']
文卓,['Wen Zhuo（人名）'],['Wen Zhuo（人名）\n']
就业机会,['job opportunity'],['job opportunity\n ;\n']
透光,"['translucidus', 'transmitting', 'pervious to light']","['n.', 'v.', 'misc.']"
交换量,['exchange capacity'],['exchange capacity\n']
干部队伍,['contingent of cadres'],['contingent of cadres\n']
朝气蓬勃,"['young', 'full of youthful spirity']","['adj.', 'misc.']"
奋发有为,['be enthusiastic and press on'],['be enthusiastic and press on\n']
领导层,"['leadership', 'executive level']","['n.', 'misc.']"
画作,['painting'],['painting\n ;\n']
鼾声,"['snore', 'sound of snoring']","['n.', 'misc.']"
停歇,"['cease', 'stop', 'stop for a rest']","['vi.', 'vt.', 'misc.']"
零税率,['zero tax rate'],['zero tax rate\n ;\n']
不明智,['unwise'],['adj.']
马六甲,['Malacca'],['n.']
印花税,"['stamps', 'stamp duty']","['n.', 'misc.']"
智,['wisdom'],['n.']
立业,"[""start one's career""]","[""start one's career\n""]"
屈原,['qu yuan'],['qu yuan\n']
楚文化,['Chu culture'],['Chu culture\n']
替代选择,['replacement selection'],['replacement selection\n']
毫针,"['acupuncture needle', 'filiform needle in acupuncture']","['n.', 'misc.']"
每套,['every set'],['every set\n ;\n']
密封垫,['gland'],['gland\n']
屋,"['house', 'a surname']","['n.', 'misc.']"
巴恩斯,['Barnes'],['n.']
套取,['extract'],['vt.']
枪战,['gunplay'],['n.']
稀疏,"['sparse', 'few and far between']","['adj.', 'misc.']"
气调,['controlled atmosphere'],['controlled atmosphere\n']
我部,['Gabe'],['n.']
赞比亚,['Zambia'],['n.']
埋怨,['complain'],['vi.']
革命圣地,['sacred place for the revolution'],['sacred place for the revolution\n']
变换编码,['transform coding'],['transform coding\n ;\n']
阿比让,['Abidjan'],['n.']
西南地区,['southwest'],['n.']
自然地理,['physical geography'],['physical geography\n']
区域气候,['regional climate'],['regional climate\n']
成角,['angulation'],['n.']
未闭,['patency'],['patency\n']
封堵器,['plugging device'],['plugging device\n']
酿成,"['breed', 'lead to']","['vi.', 'misc.']"
大跃进,['great leap forward'],['great leap forward\n']
覆辙,['the track of an overturned cart'],['the track of an overturned cart\n']
多动症,['hyperactivity'],['n.']
课外活动,['Extracurricular Activities'],['Extracurricular Activities\n ;\n']
广播站,['broadcasting room（规模较大）'],['broadcasting room（规模较大）\n ;\n']
六本木,['Roppongi'],['Roppongi\n']
饭田,['Iida'],['n.']
寿司店,['sushi restaurant'],['sushi restaurant\n']
分栏,['subfield'],['n.']
第二列,['the second series'],['the second series\n']
数字证书,['DC(Digital Certificate)'],['DC(Digital Certificate)\n']
等价物,['equivalent'],['n.']
常识,['common sense'],['common sense\n']
怕热,"[""can't stand the heat""]","[""can't stand the heat\n""]"
皮肤癌,['skin cancer'],['skin cancer\n ;\n']
机动,"['maneuvering', 'flexible', 'engine driven']","['v.', 'adj.', 'misc.']"
标测,['mapping'],['v.']
多深,['how  deep'],['how  deep\n']
频发,['take place frequently'],['take place frequently\n']
形势严峻,['severe situation'],['severe situation\n ;\n']
最酷,['coolest'],['coolest\n']
纸飞机,['paper plane'],['paper plane\n']
哥特,['Gothic'],['adj.']
副词,[''],['\n']
抢手货,['shopping-rush goods'],['shopping-rush goods\n ;\n']
茶末,['tea dust'],['tea dust\n']
源语,['source language'],['source language\n']
译语,['target language'],['target language\n']
以弗所,['Ephesus'],['n.']
硬通货,['hard currency'],['hard currency\n']
接好,['connect well'],['connect well\n ;\n']
搞混,"['wuzzle', 'bog up']","['vt.', 'misc.']"
收下,['furl'],['vt.']
长颈鹿,['giraffe'],['n.']
书信,"['letter', 'written message']","['n.', 'misc.']"
倾,"['pour out', 'collapse']","['v.', 'vi.']"
残障,['physical disabilities'],['physical disabilities\n']
漏水,"['leak', 'make water']","['n.', 'misc.']"
灭菌器,['sterilizer'],['n.']
丢脸,['lose face'],['lose face\n ;\n']
彭特兰,['Pentland'],['Pentland\n']
克吕尼,['Clunie'],['n.']
巴赫,['Bach'],['n.']
隧道窑,['tunnel kiln'],['tunnel kiln\n']
旗舰,['flagship'],['n.']
检测仪,['detector'],['n.']
途,"['road', 'way', 'route']","['n.', 'adj.', 'vt.']"
揣测,"['conjecture', 'guess']","['n.', 'vt.']"
唯名论,['nominalism'],['n.']
甘油酯,['glyceride'],['n.']
趋近,['approach'],['n.']
朱鹭,['ibis'],['n.']
中央财政,['state revenue'],['state revenue\n ;\n']
三农,"['agriculture, rural areas, and rural residents']","['agriculture, rural areas, and rural residents\n']"
亿元,['100 million'],['100 million\n']
上年,['last year'],['last year\n']
尊,"['respect', 'senior']","['n.', 'adj.']"
表达能力,"['presentation skill', 'ability of expression']","['n.', 'misc.']"
火车票,['railway ticket'],['railway ticket\n ;\n']
接机,['airport pickup'],['airport pickup\n ;\n']
公务用车,['official business vehicle'],['official business vehicle\n ;\n']
派车,['send a car'],['send a car\n ;\n']
洗手不干,"[""hang up one's axe""]","[""hang up one's axe\n ;\n""]"
斗转星移,['The stars change in positions. -- change of the seasons'],['The stars change in positions. -- change of the seasons\n ;\n']
不眠之夜,['sleepless night'],['sleepless night\n ;\n']
铭刻,"['inscription', 'grave', 'engrave', ""engrave on one's mind""]","['n.', 'adj.', 'vt.', 'misc.']"
爱尔巴桑,['elbasan'],['n.']
城郊,"['suburb', 'outskirts of a town']","['n.', 'misc.']"
阿尔巴尼亚,['Albania'],['n.']
农业区,['agricultural district'],['agricultural district\n']
烤烟,['flue-cured tobacco'],['flue-cured tobacco\n']
耶鲁,['Yale'],['n.']
足球赛,['soccer game'],['soccer game\n']
打气,"['bulging', 'encourage', 'pump up']","['n.', 'vt.', 'misc.']"
海报,"['poster', 'show bill']","['n.', 'misc.']"
计算机系统,['computer system'],['computer system\n ;\n']
中山路,['Zhongshan Road'],['Zhongshan Road\n']
酒泉,['Jiuquan'],['Jiuquan\n']
高一,['senior one'],['senior one\n']
签定,['identification'],['n.']
保护性,"['protectiveness', 'protective']","['n.', 'adj.']"
点餐,['order'],['n.']
身孕,['pregnancy'],['n.']
具体说来,['to be specific'],['to be specific\n ;\n']
芦笙,['a reed-pipe wind instrument'],['a reed-pipe wind instrument\n']
不失为,['can yet be regarded as'],['can yet be regarded as\n ;\n']
穆加贝,['Mugabe'],['n.']
微体,['microbody'],['n.']
魔术,"['conjuring', 'magic']","['n.', 'adj.']"
改进型,"['improved', 'second generation']","['adj.', 'misc.']"
东城区,['Dongcheng District'],['Dongcheng District\n']
抵抗素,['resistin'],['n.']
禽鸟,['avian'],['adj.']
烹煮,['boil'],['vi.']
熟透,['well-done'],['adj.']
独特型,['idiotype'],['n.']
抗病,['disease-resistant'],['disease-resistant\n']
血吸虫病,"['schistosomiasis', 'bilharziasis']","['n.', 'misc.']"
候选,['candidate'],['n.']
航速,['speed of a ship or plane'],['speed of a ship or plane\n ;\n']
干舷,['freeboard'],['n.']
兴波,['wave making'],['wave making\n']
生气蓬勃,['vigorous'],['adj.']
科研活动,['scientific research activity'],['scientific research activity\n']
吸盘,"['acetabulum', 'sucking disc']","['n.', 'misc.']"
环型,"['annular', 'ring-type']","['adj.', 'misc.']"
龙井茶,['longjing tea'],['longjing tea\n ;\n']
重定向,"['redirection', 'redirect']","['n.', 'vt.']"
金砂,['gold sand'],['gold sand\n ;\n']
福特公司,['Ford'],['n.']
莉莉,['lily'],['n.']
茶社,['teahouse'],['n.']
偷袭,"['sneak attack', 'surprise attack']","['n.', 'misc.']"
提前准备,['prepare ahead of schedule'],['prepare ahead of schedule\n ;\n']
相互间,['mutual'],['adj.']
双星,['double star'],['double star\n ;\n']
公转,['revolution'],['n.']
红旗,"['red flag', 'red banner']","['n.', 'misc.']"
西侧,['west side'],['west side\n ;\n']
自然景观,['natural landscape'],['natural landscape\n ;\n']
帕西,['Passy'],['n.']
生药学,['pharmacognostics'],['n.']
闻到,['scent out'],['scent out\n ;\n']
变压器,"['transformer', 'potential transformer']","['n.', 'misc.']"
上尉,"['captain', 'lieutenant(lt)']","['n.', 'misc.']"
因人而异,['vary with each individual'],['vary with each individual\n ;\n']
转瞬即逝,['written in water'],['written in water\n']
半干法,['semidry method'],['semidry method\n']
除尘,"['dedusting', 'dust extraction']","['n.', 'misc.']"
经得起,"['stand up', 'withstand', 'be framed for']","['v.', 'vt.', 'misc.']"
以邻为壑,"[""benefit oneself at others' expense""]","[""benefit oneself at others' expense\n ;\n""]"
四下里,"['round', 'around', 'all around']","['n.', 'adv.', 'misc.']"
遥遥,['far away'],['far away\n ;\n']
脱盐,"['desalination', 'desalt']","['n.', 'vt.']"
制药,['pharmacy'],['n.']
身分,['identity'],['n.']
沙田,['tidal land'],['tidal land\n ;\n']
情侣,['lovers'],['n.']
心外科,['cardiac surgery department'],['cardiac surgery department\n']
舒缓,['relieve'],['vt.']
梦乡,['dreamland'],['n.']
爆燃,['detonation （内燃机）'],['detonation （内燃机）\n']
想过,['thought'],['thought\n']
暧昧,['ambiguity'],['n.']
玫,['rose'],['n.']
空灵,['intangible'],['adj.']
图利,['desire to make money or profit'],['desire to make money or profit\n ;\n']
长嘴,['proboscis'],['n.']
前爪,['forepassed'],['adj.']
挖洞,['potholing'],['n.']
铁元素,['iron element'],['iron element\n']
蒙蔽,"['deceive', 'blind', 'becloud', 'dust the eyes of']","['v.', 'adj.', 'vt.', 'misc.']"
小轿车,"['sedan', 'sedan car']","['n.', 'misc.']"
小型货车,"['minivan', 'baby truck']","['n.', 'misc.']"
相距,"['apart', 'away from']","['adv.', 'misc.']"
网络协议,"['appletalk', 'networking protocol']","['n.', 'misc.']"
罗斯托克,['Rostock'],['n.']
伍尔夫,['woolf'],['n.']
手机号,['cell-phone number'],['cell-phone number\n']
雷夫,['Rafe'],['n.']
筑波,['tsukuba'],['n.']
问安,"[""pay one's respects""]","[""pay one's respects\n ;\n""]"
灌服,['drench'],['vt.']
甲亢,"['hyperthyroidism', 'hyperthyreosis']","['n.', 'misc.']"
肌病,"['myopathy', 'myonosus']","['n.', 'misc.']"
骨骼肌,"['skeletal muscle', 'musculi skeleti']","['n.', 'misc.']"
坐船,['by ship'],['by ship\n ;\n']
手部,['Tebe'],['n.']
紧肤,['firming'],['n.']
修护,"['treatment', 'repair']","['n.', 'vi.']"
坚韧度,['toughness'],['n.']
松驰,"['laxity', 'slack', 'loosen']","['n.', 'adj.', 'vt.']"
柔嫩,['tender'],['adj.']
左半球,['left hemisphere'],['left hemisphere\n']
右半球,['right hemisphere'],['right hemisphere\n']
颤振,"['tremor', 'shimmy']","['n.', 'vt.']"
鲁棒,['robust'],['adj.']
裕度,['margin'],['n.']
试飞,['test flight'],['test flight\n ;\n']
风尘,['travel fatigue'],['travel fatigue\n']
资方,"['capital', 'those representing capital']","['n.', 'misc.']"
共振效应,['resonance effect'],['resonance effect\n']
氧化电位,['oxidation potential'],['oxidation potential\n']
用过,['used'],['used\n']
魅可,['M.A.C.（化妆品品牌名，Makeup Art Cosmetics）'],['M.A.C.（化妆品品牌名，Makeup Art Cosmetics）\n']
公安,['public security'],['public security\n']
中南海,['Zhongnanhai'],['Zhongnanhai\n']
商业发票,['merchandise invoice'],['merchandise invoice\n ;\n']
一式,['uniformity'],['n.']
容,"['appearance', 'allow', 'hold']","['n.', 'vi.', 'vt.']"
湖侵,['lake transgression'],['lake transgression\n']
智库,['think tank'],['think tank\n ;\n']
时数,['hours'],['n.']
班组,['team or group'],['team or group\n']
管理法,['Administrative Law'],['Administrative Law\n']
勋爵,['a feudal title of nobility conferred for meritorious service'],['a feudal title of nobility conferred for meritorious service\n']
池子,"['pool', 'pond']","['n.', 'vt.']"
做不了,['can not do'],['can not do\n']
金庸,['Jin Yong'],['Jin Yong\n']
日面,['solar disk'],['solar disk\n']
皮瓣,['flap'],['n.']
全国人大,"[""NPC(National People's Congress)""]","[""NPC(National People's Congress)\n""]"
民主法制,['democratic legislative system'],['democratic legislative system\n']
不来,['not come'],['not come\n']
总产值,['total value of out-put'],['total value of out-put\n']
贡献率,['rate of contribution'],['rate of contribution\n']
侵扰,['invade and harass'],['invade and harass\n']
私生活,['private life'],['private life\n ;\n']
火麻仁,['fructus cannabis'],['fructus cannabis\n ;\n']
共享内存,['shared memory'],['shared memory\n']
藕粉,['lotus root starch'],['lotus root starch\n']
馄饨,['Huntun'],['Huntun\n ;\n']
小笼,['cellule'],['n.']
保守主义,"['conservatism', 'immobilism']","['n.', 'misc.']"
启蒙运动,['the enlightenment'],['the enlightenment\n']
征信,['credit investigation'],['credit investigation\n']
递进,['go forward one by one'],['go forward one by one\n']
着眼点,['respect'],['n.']
环境部,['environment division'],['environment division\n']
申明,"['state', 'declare']","['n.', 'vt.']"
慢性病,['chronic disease'],['chronic disease\n']
鲁瓦耶,['Royer'],['n.']
氯奎,['chloroquine'],['n.']
奎宁,['quinine'],['n.']
蚊子,['mosquito'],['n.']
挑选出,"['prick off', 'pick out']","['v.', 'misc.']"
莫吉,['Maugis'],['n.']
金子,['gold'],['n.']
有违,['contrary to'],['contrary to\n ;\n']
广交会,['Canton Fair'],['Canton Fair\n ;\n']
东方宾馆,['Dongfang Hotel（公司名）'],['Dongfang Hotel（公司名）\n']
登记牌,"['boarding pass', 'boarding card']","['n.', 'misc.']"
皮箱,['leather suitcase'],['leather suitcase\n ;\n']
双肩包,['backpack'],['n.']
张紧,['tensioning'],['n.']
压榨,"['squeeze', 'press']","['vi.', 'vt.']"
年终总结,['year-end summary'],['year-end summary\n']
曼蒂,['Manti'],['n.']
数控系统,['numerical control system'],['numerical control system\n']
车削,['turning'],['n.']
锥面,"['cone', 'conical surface']","['n.', 'misc.']"
兰陵,['Lanling（地名）'],['Lanling（地名）\n']
勋业,['meritorious service and great achievement'],['meritorious service and great achievement\n']
士族,['intelligentsia'],['n.']
辖,"['linchpin', 'administer', 'have jurisdiction over']","['n.', 'vt.', 'misc.']"
物理疗法,['naturopathy'],['n.']
北斗,['Big Dipper'],['Big Dipper\n']
延时,"['retardation', 'delay', 'delayed']","['n.', 'vi.', 'adj.']"
人情,"['favour', 'human feelings']","['n.', 'misc.']"
卤水,['brine'],['n.']
盐滩,['salina'],['n.']
湖滨,"['lakeside', 'beside the lake']","['n.', 'misc.']"
钾盐,"['sylvite', 'kali salt']","['n.', 'misc.']"
草案,['draft'],['n.']
镰刀,"['sickle', 'reaping hook']","['n.', 'misc.']"
非球面,['aspheric surface'],['aspheric surface\n']
越出,"['exceed', 'step over']","['vt.', 'misc.']"
蛮荒,['uncivilized region'],['uncivilized region\n ;\n']
残废,"['crippled', 'cripple', '(physicallydisabled']","['adj.', 'vt.', 'misc.']"
氯霉素,"['chloramphenicol', 'levogyre']","['n.', 'misc.']"
钢包,['steel ladle'],['steel ladle\n']
客户经理,['customer manager'],['customer manager\n ;\n']
说得对,['right on'],['right on\n']
书法艺术,"['Calligraphy', 'calligraphic art']","['n.', 'misc.']"
人品,['moral quality'],['moral quality\n']
模糊性,['fuzziness'],['n.']
冬枣,['winter jujube'],['winter jujube\n']
贮藏,"['depot', 'lay by', 'reposit', 'store up']","['n.', 'v.', 'vt.', 'misc.']"
果皮,"['peel', 'pericarp']","['v.', 'n.']"
吉林省,['Jilin province'],['Jilin province\n']
高教,['higher education'],['higher education\n']
钢笔,['pen'],['n.']
杰弗里,['jeffrey'],['n.']
远景,"['prospect', 'distant view']","['n.', 'misc.']"
气举,['gas lift'],['gas lift\n']
电潜泵,['electric submersible pump'],['electric submersible pump\n']
采气,['gas production'],['gas production\n']
取乐,['find amusement'],['find amusement\n ;\n']
应用科学,['applied science'],['applied science\n']
代表队,"['delegation', 'the representative team']","['n.', 'misc.']"
放掉,"['let out', 'dropt']","['v.', 'misc.']"
联机帮助,"['online help', 'on-line help']","['n.', 'misc.']"
界面设计,['interfacial design'],['interfacial design\n']
清洁剂,['detergent'],['n.']
消烟,['smoke abatement'],['smoke abatement\n']
空前绝后,['unique'],['adj.']
人口稠密,['densely populated'],['densely populated\n ;\n']
拥护,['advocacy'],['n.']
不可知论,['agnosticism'],['n.']
感染期,['infection period'],['infection period\n ;\n']
闭包,['closure'],['n.']
乘以,['multiply by'],['multiply by\n']
隧洞,['tunnel'],['n.']
过硬,['have a perfect mastery of sth.'],['have a perfect mastery of sth.\n ;\n']
刺耳,"['harsh', 'grating on the ear']","['adj.', 'misc.']"
自力,"['self-reliance', ""under one's own steam""]","['n.', 'misc.']"
反复性,"['repeatability', 'iterancy']","['n.', 'misc.']"
网球肘,['radiohumeral bursitis'],['radiohumeral bursitis\n ;\n']
泱泱大国,['a great (and proud) country'],['a great (and proud) country\n ;\n']
中华文化,['Chinese culture'],['Chinese culture\n']
精髓,['quintessence'],['n.']
磨耗,['abrasion'],['n.']
炭黑,['carbon black'],['carbon black\n ;\n']
胎面,['tread'],['n.']
抗湿,['slushing'],['n.']
鲍德温,['Baldwin'],['n.']
勒住,"['rein', 'rein in a horse']","['vt.', 'misc.']"
芯轴,['dabber'],['n.']
旁观,['look on'],['look on\n ;\n']
友,"['friend', 'friendly', 'a surname']","['n.', 'adj.', 'misc.']"
定位点,['anchor point'],['anchor point\n ;\n']
实用工具,['general utility tool'],['general utility tool\n ;\n']
令人羡慕,['enviable'],['adj.']
值得一看,['bear watching'],['bear watching\n']
看吧,['see'],['see\n']
慢波,['slow wave'],['slow wave\n']
自发,['spontaneous'],['adj.']
吸热,"['decalescence', 'endothermic', 'absorption of heat']","['n.', 'adj.', 'misc.']"
代课,['take over a class for an absent teacher'],['take over a class for an absent teacher\n']
隔世之感,['It seem as if a whole generation had passed'],['It seem as if a whole generation had passed\n ;\n']
亚伦,['Aaron'],['n.']
投产,['put into production in commission'],['put into production in commission\n ;\n']
渴求,['be eager for'],['be eager for\n ;\n']
传出,"['outflow', 'come out']","['n.', 'misc.']"
工业污染,['industrial pollution'],['industrial pollution\n']
克雷莫纳,['Cremona'],['n.']
相识,"['acquaintance', 'be acquainted with each other']","['n.', 'misc.']"
书信往来,['keep on shuttlecocking letters'],['keep on shuttlecocking letters\n ;\n']
禁猎区,['suspended hunting area'],['suspended hunting area\n ;\n']
名不副实,['be unworthy of the name or the title'],['be unworthy of the name or the title\n ;\n']
情操,['sentiment'],['n.']
高涨,"['upsurge', 'boom', 'surge ahead']","['n.', 'vt.', 'misc.']"
加略,['Gallo'],['adj.']
摘出,"['distil', 'enucleate']","['vi.', 'vt.']"
青绿,['dark green'],['dark green\n']
氢氧化钾,['potassium hydroxide'],['potassium hydroxide\n']
脱机,['（离线） off-line'],['（离线） off-line\n']
卡罗琳,['Caroline'],['n.']
莱斯特,['Leicester'],['n.']
消元,['elimination'],['n.']
